,/lpc/nct6795d/control/0,/lpc/nct6795d/control/1,/lpc/nct6795d/control/2,/lpc/nct6795d/control/3,/lpc/nct6795d/control/4,/lpc/nct6795d/control/5,/lpc/nct6795d/voltage/0,/lpc/nct6795d/voltage/1,/lpc/nct6795d/voltage/2,/lpc/nct6795d/voltage/3,/lpc/nct6795d/voltage/4,/lpc/nct6795d/voltage/5,/lpc/nct6795d/voltage/6,/lpc/nct6795d/voltage/7,/lpc/nct6795d/voltage/9,/lpc/nct6795d/voltage/10,/lpc/nct6795d/voltage/12,/lpc/nct6795d/voltage/13,/lpc/nct6795d/voltage/14,/lpc/nct6795d/temperature/0,/lpc/nct6795d/temperature/1,/lpc/nct6795d/temperature/2,/lpc/nct6795d/temperature/3,/lpc/nct6795d/temperature/4,/lpc/nct6795d/temperature/6,/lpc/nct6795d/fan/1,/lpc/nct6795d/fan/5,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/fan/0,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #6","Fan #2","Fan #6","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
05/25/2020 00:00:00,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1,1.024,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1728,753,96.875,96.875,98.4375,100,98.046875,59,56,59,61,61,3299.99854,3299.99854,3299.99854,3299.99854,24.2982578,20.472229,0,2.11302471,99.9999542,73.09866,11.670681,4.29497528,67,1873.00012,4006.80029,3746.00024,1556,98,27,11,7,48,6144,5772.30859,371.6914,93.95034,87.6840057,784.1797,161.132813,40,51.7497025,67.64215
05/25/2020 00:00:01,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1769,774,98.4375,96.875,98.4375,98.4375,98.046875,58,57,60,61,61,3299.9978,3299.9978,3299.9978,3299.9978,24.0720081,20.238966,0,2.15323067,99.99994,73.2473,11.6944122,4.271244,67,1873.00012,4006.80029,3746.00024,1554,98,27,11,7,48,6144,5772.30859,371.6914,93.95034,87.037,960.9375,162.109375,40,51.7497025,67.64215
05/25/2020 00:00:02,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1713,752,95.3125,95.3125,96.875,90.625,94.53125,58,56,58,60,60,3299.99951,3299.99951,3299.99951,3299.99951,23.5113258,19.6573677,0,2.14997482,99.9999847,73.23999,11.6932449,4.27241135,67,1873.00012,4006.80029,3746.00024,1554,98,26,11,7,48,6144,5772.30859,371.6914,93.95034,79.471,1139.64844,122.070313,40,51.7497025,67.64215
05/25/2020 00:00:03,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1739,774,100,100,95.3125,100,98.828125,58,57,59,61,61,3299.99927,3299.99927,3299.99927,3299.99927,24.3239174,20.3946152,0,2.3395884,99.99998,73.27645,11.6990662,4.26659,67,1873.00012,4006.80029,3746.00024,1556,99,27,10,7,48,6144,5772.30859,371.6914,93.95034,85.0610046,777.34375,155.273438,40,51.7497025,67.64215
05/25/2020 00:00:04,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.128,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1755,752,96.875,96.875,98.4375,95.3125,96.875,59,57,58,61,61,3299.999,3299.999,3299.999,3299.999,23.305418,19.4984589,0,2.05657649,99.99997,73.24035,11.6933022,4.272354,67,1873.00012,4006.80029,3746.00024,1554,98,27,11,6,48,6144,5772.30859,371.6914,93.95034,93.06901,770.5078,133.789063,40,51.7497025,67.64215
05/25/2020 00:00:05,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1,1.016,3.40800023,3.37600017,1,0.160000011,1.128,3.40800023,1.008,1.072,1,0.6,1.51200008,60,42.5,41,19,22,-1,1748,773,93.75,90.625,84.375,90.625,89.84375,58,56,58,60,60,3299.999,3299.999,3299.999,3299.999,22.9664612,19.1571445,0,2.00329852,99.99997,73.2565,11.6958809,4.26977539,68,1873.00012,4006.80029,3746.00024,1554,99,25,11,7,48,6144,5772.30859,371.6914,93.95034,90.998,1157.22656,135.742188,40,51.7497025,67.64215
05/25/2020 00:00:06,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1721,752,95.3125,95.3125,100,96.875,96.875,59,57,58,61,61,3299.999,3299.999,3299.999,3299.999,24.1214066,20.2518482,0,2.20371437,99.99997,73.22597,11.6910057,4.27465057,67,1873.00012,4006.80029,3746.00024,1556,98,25,11,7,48,6144,5772.30859,371.6914,93.95034,88.6980057,924.8047,151.367188,40,51.7497025,67.64215
05/25/2020 00:00:07,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,40,19,22,-1,1760,779,93.75,98.4375,96.875,100,97.265625,59,56,58,61,61,3299.99854,3299.99854,3299.99854,3299.99854,23.8956432,20.0163136,0,2.24519539,99.9999542,73.27514,11.6988564,4.2668,67,1873.00012,4006.80029,3746.00024,1556,98,25,11,8,48,6144,5772.30859,371.6914,93.95034,88.25001,840.8203,155.273438,40,51.7497025,67.64215
05/25/2020 00:00:08,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1735,754,96.875,98.4375,98.4375,96.875,97.65625,59,57,58,61,61,3299.99951,3299.99951,3299.99951,3299.99951,24.1418457,20.2818985,0,2.21363831,99.9999847,73.20938,11.6883583,4.277298,67,1873.00012,4006.80029,3746.00024,1558,96,26,11,7,48,6144,5772.30859,371.6914,93.95034,85.994,1185.54688,157.226563,40,51.7497025,67.64215
